Date,Open,High,Low,Close,Adj Close,Volume
2023-01-23,14.050000,14.100000,13.892000,14.016000,12.838037,7212139
2023-01-24,14.080000,14.146000,13.884000,14.020000,12.841702,7526207
2023-01-25,13.908000,14.134000,13.802000,13.916000,12.746442,12105232
2023-01-26,14.024000,14.114000,13.922000,14.054000,12.872844,8296420
2023-01-27,14.140000,14.228000,14.052000,14.196000,13.002910,9375416
2023-01-30,14.268000,14.272000,13.926000,14.024000,12.845365,10925629
2023-01-31,13.964000,14.384000,13.846000,14.376000,13.167782,14827578
2023-02-01,14.478000,14.630000,14.386000,14.488000,13.270369,13507907
2023-02-02,14.650000,15.208000,14.558000,15.208000,13.929856,21413544
2023-02-03,15.082000,15.270000,14.976000,15.200000,13.922528,16183901
2023-02-06,15.046000,15.146000,14.912000,15.080000,13.812614,9224277
2023-02-07,15.118000,15.222000,15.046000,15.088000,13.819942,8866682
2023-02-08,15.160000,15.268000,14.990000,15.122000,13.851084,9250490
2023-02-09,15.200000,15.712000,15.158000,15.678000,14.360356,14231457
2023-02-10,15.622000,15.700000,15.370000,15.412000,14.116712,11119452
2023-02-13,15.410000,15.580000,15.394000,15.508000,14.204643,7457570
2023-02-14,15.550000,15.718000,15.500000,15.576000,14.266929,10154145
2023-02-15,15.580000,15.888000,15.546000,15.870000,14.536219,11385709
2023-02-16,15.940000,16.080000,15.764000,15.904000,14.567362,12236184
2023-02-17,15.900000,15.986000,15.732000,15.950000,14.609495,14123351
2023-02-20,16.058001,16.247999,16.028000,16.138000,14.781695,10697835
2023-02-21,16.082001,16.139999,15.770000,15.868000,14.534388,11435162
2023-02-22,16.222000,16.412001,15.892000,16.218000,14.854972,24367740
2023-02-23,16.450001,17.087999,16.440001,16.804001,15.391723,36181727
2023-02-24,17.000000,17.046000,16.362000,16.450001,15.067474,19389710
2023-02-27,16.476000,16.747999,16.440001,16.632000,15.234178,12036930
2023-02-28,16.639999,16.742001,16.445999,16.554001,15.162734,14088988
2023-03-01,16.666000,17.230000,16.618000,17.056000,15.622542,19398003
2023-03-02,17.000000,17.226000,16.856001,17.172001,15.728794,11420680
2023-03-03,17.313999,17.747999,17.299999,17.667999,16.183107,15723357
2023-03-06,17.705999,17.785999,17.510000,17.576000,16.098841,9883487
2023-03-07,17.497999,17.695999,17.440001,17.530001,16.056707,6385858
2023-03-08,17.450001,17.600000,17.434000,17.490000,16.020067,9111642
2023-03-09,17.452000,17.480000,17.073999,17.202000,15.756272,11070286
2023-03-10,16.792000,16.888000,16.500000,16.888000,15.468662,15021327
2023-03-13,16.850000,16.850000,16.038000,16.204000,14.842149,15039282
2023-03-14,16.167999,16.438000,15.986000,16.393999,15.016179,11328851
2023-03-15,16.360001,16.402000,15.628000,15.794000,14.466606,17797747
2023-03-16,16.048000,16.100000,15.246000,15.916000,14.578354,12900149
2023-03-17,16.028000,16.190001,15.562000,15.716000,14.395162,23908153
2023-03-20,15.696000,15.986000,15.224000,15.846000,14.514236,11999902
2023-03-21,16.046000,16.318001,16.014000,16.186001,14.825662,9709910
2023-03-22,16.186001,16.313999,16.132000,16.195999,14.834820,5353501
2023-03-23,16.110001,16.264000,15.914000,16.180000,14.820166,7236962
2023-03-24,16.010000,16.020000,15.680000,15.902000,14.565530,10262336
2023-03-27,16.188000,16.284000,16.020000,16.230000,14.865963,5646418
2023-03-28,16.400000,16.464001,16.219999,16.252001,14.886115,5909643
2023-03-29,16.302000,16.410000,16.152000,16.410000,15.030835,8448399
2023-03-30,16.510000,16.680000,16.469999,16.582001,15.188380,7292278
2023-03-31,16.632000,16.750000,16.493999,16.736000,15.329437,7644233
2023-04-03,16.760000,16.837999,16.643999,16.670000,15.268984,6629722
2023-04-04,16.816000,16.865999,16.416000,16.440001,15.058314,8633294
2023-04-05,16.375999,16.490000,16.070000,16.114000,14.759713,9491339
2023-04-06,16.233999,16.254000,16.048000,16.247999,14.882450,7050270
2023-04-11,16.650000,16.750000,16.524000,16.750000,15.342260,12791218
2023-04-12,16.756001,17.100000,16.719999,16.796000,15.384394,10373694
2023-04-13,16.812000,16.990000,16.770000,16.827999,15.413704,8015666
2023-04-14,17.000000,17.195999,16.966000,17.164000,15.721466,12119073
2023-04-17,17.209999,17.322001,16.978001,16.978001,15.551099,10577376
2023-04-18,17.091999,17.164000,16.920000,17.032000,15.600559,8183518
2023-04-19,17.094000,17.094000,16.841999,16.968000,15.541939,9815276
2023-04-20,16.799999,16.834000,15.916000,16.049999,14.701091,30007381
2023-04-21,15.920000,16.110001,15.710000,15.944000,14.604000,18709660
2023-04-24,14.980000,15.142000,14.710000,14.938000,14.938000,15865724
2023-04-25,14.848000,14.908000,14.642000,14.754000,14.754000,12802557
2023-04-26,14.746000,14.746000,14.492000,14.670000,14.670000,11871441
2023-04-27,14.610000,14.894000,14.572000,14.754000,14.754000,7695151
2023-04-28,14.910000,15.000000,14.530000,15.000000,15.000000,11434592
2023-05-02,15.132000,15.236000,14.692000,14.738000,14.738000,10895285
2023-05-03,14.660000,14.666000,14.324000,14.462000,14.462000,13843566
2023-05-04,14.450000,14.450000,14.174000,14.360000,14.360000,10894852
2023-05-05,14.462000,14.764000,14.374000,14.726000,14.726000,15362260
2023-05-08,14.784000,14.884000,14.702000,14.820000,14.820000,10852588
2023-05-09,14.858000,14.980000,14.776000,14.942000,14.942000,12384031
2023-05-10,14.980000,15.128000,14.884000,14.970000,14.970000,14532664
2023-05-11,14.960000,15.048000,14.768000,14.910000,14.910000,14787155
2023-05-12,15.000000,15.088000,14.940000,14.946000,14.946000,12722355
2023-05-15,14.996000,15.044000,14.834000,14.862000,14.862000,6979058
2023-05-16,14.800000,14.850000,14.554000,14.692000,14.692000,11057876
2023-05-17,14.580000,14.942000,14.576000,14.840000,14.840000,9278619
2023-05-18,14.934000,15.242000,14.880000,15.146000,15.146000,11632468
2023-05-19,15.238000,15.566000,15.206000,15.432000,15.432000,12014295
2023-05-22,15.472000,15.530000,15.238000,15.322000,15.322000,8532535
2023-05-23,15.316000,15.318000,15.160000,15.238000,15.238000,5871114
2023-05-24,15.086000,15.100000,14.572000,14.620000,14.620000,15676039
2023-05-25,14.672000,14.672000,14.412000,14.470000,14.470000,7678675
2023-05-26,14.622000,14.836000,14.386000,14.772000,14.772000,8300145
2023-05-29,14.860000,14.954000,14.658000,14.750000,14.750000,4343170
2023-05-30,14.820000,14.914000,14.700000,14.700000,14.700000,5979606
2023-05-31,14.552000,14.592000,14.146000,14.182000,14.182000,21256643
2023-06-01,14.400000,14.536000,14.240000,14.384000,14.384000,7226441
2023-06-02,14.534000,14.864000,14.482000,14.786000,14.786000,10278458
2023-06-05,14.862000,14.870000,14.644000,14.816000,14.816000,8266949
2023-06-06,14.746000,14.782000,14.556000,14.750000,14.750000,8650014
2023-06-07,14.750000,14.964000,14.622000,14.964000,14.964000,9291294
2023-06-08,14.902000,15.326000,14.900000,15.180000,15.180000,12157137
2023-06-09,15.172000,15.218000,15.038000,15.052000,15.052000,7418767
2023-06-12,15.172000,15.400000,15.152000,15.296000,15.296000,8610526
